label	text_a
家居	樱之歌蓝色之恋5件套日式釉下彩纯手绘家用餐具套装陶瓷器碗盘碗碟微波炉可用
家电	北欧欧慕料理机手持料理棒家用多功能手持式搅拌机打蛋切菜婴儿辅食绞肉机榨汁机NJB103SA冰湖蓝
健康	劲度kn95口罩儿童防雾霾防飞沫5只装
服饰内衣	唯本考拉A梦CS-2德绒儿童套装
玩具	76-022斯伯丁篮球
鞋靴箱包	SY-371世易女室内棉拖
香烟	红塔山软13mg经典195
粮油速食	粮全其美原味手抓饼900g10片*1袋
粮油速食	45G金锣加钙特香王
家居	坚宝魔法防尘1600ML咖啡壶KB-790
粮油速食	辣西西里传统意面盒装500g*1盒
酒饮冲调	金日禾野太极黑麦燕麦片900g荣耀版黑白麦片早餐即食代餐无糖精
粮油速食	正大CP鸡肉时蔬饺23g*10粒鸡肉饺子水饺煎饺蒸饺早餐方便菜
美妆	玉兰油OLAY大红瓶15件套护肤品套装化妆品面霜+眼霜+洗面奶+爽肤水
清洁	TXY10新呼吸有机纯棉迷你卫生巾
粮油速食	人民食品黄河油小米杂粮陕西黄小米月子米特产粗粮620g
餐饮	龙大卤肝
酒饮冲调	500ML百事可乐果缤纷蓝莓石榴
母婴	美赞臣安婴儿A+亲舒乳蛋白部分水解婴儿配方粉0-12个月
母婴	诺优能较大婴儿配方奶粉2段6-12月900g新老包装随机
个护	225ML*2舒肤佳泡沫洗手液纯白清香+沁爽柠檬
酒饮冲调	100G老庞家八角
蔬菜	砚祥生菜
休闲食品	105克旺旺仙贝
休闲食品	y亚星枣糕
休闲食品	葡记芝士味鲜蛋糕1000g整箱礼盒装纸杯奶香手撕面包早餐
办公	6065得力学生剪刀
家居	HL0054焕龙儿童衣架
休闲食品	麦提莎牛奶巧克力瓶装53g*1瓶
个护	皓齿健Hosjam按压式牙膏蜕变套装小苏打+双色粒子440g*24套/箱整箱销售不拆
水产	冰鲜黄立鱼150g*1盒
肉禽蛋	月芽骨Z
美妆	敷尔佳医用透明质酸钠1.0面部修复医美术后补水4盒装5片装/盒
个护	45G红贝缇玫瑰精油皂
宠物	冠能PROPLAN宠物成犬狗粮小型犬2.5kg鸡肉味
个护	滋源无患子控油清爽护发素265ml
乳品	光明250ml利乐砖舒睡奶
酒饮冲调	三和四美精制料酒500ml
办公	得力3701多用途组合工具
酒饮冲调	T120G海底捞火锅沾料原味
办公	晨光AGP16103微笑服务台黑笔
酒饮冲调	T700G智仁纯味藕粉
服饰内衣	汉玺男背心323
家居	金刚旋风无油烟炒锅磁通ZL2332E
母婴	子初婴儿洗脸盆可折叠洗澡盆洗pp洗脚盆宝宝面盆2个装
休闲食品	生和堂龟苓膏椰果奶茶龟苓爽椰奶390g*4杯
休闲食品	卡夫闲趣秘制小牛排360g
粮油速食	京琪石磨玉米粉无添加面粉纯玉米面粗粮杂粮面粉棒子面1kg
清洁	DT15130心相印茶语丝享系列三层压花塑装面
家居	宝娜斯绢感透明水晶透气短袜2703
香烟	双喜花悦烟
玩具	WL378娃娃梳
粮油速食	格琅圣美式风味培根150g*1袋
休闲食品	45G箭牌彩虹糖原味
粮油速食	欣和葱伴侣黄豆酱900g
礼品	60公分秋之艺对娃60110
个护	舒肤佳香皂纯白清香+柠檬清新+芦荟呵护115g*3块
3C数码	AppleAirPodsMax-绿色无线蓝牙耳机主动降噪耳机头戴式耳机
休闲食品	喜之郎开心时间巧克趣300g
母婴	巴布豆BOBDOG超柔亲肤婴儿拉拉裤XL60片12-17KG
粮油速食	拉面说日式拉面非油炸方便面六味组合装1430g
个护	525ML威露士精装健康洗手液清新薄荷
鞋靴箱包	迪士尼书包113
餐饮	肉夹馍G
健康食品	双鹤牌北京蜂王精口服液10ml*30支*2蜂王浆免疫调节
清洁	索芙特玫瑰香熏香浴露1000g
